"model","sd_spatial","sd_spatial_lo","sd_spatial_hi","sd_unstructured","sd_rw1","sd_interaction","sd_district_effect","n_high","n_low","DIC","WAIC","pD"
"M6_without_covariates",0.288344259671335,0.240965982090609,0.344132524496293,0.0247172658065346,0.482320256035979,0.0311721499760871,0.4660999255301,78,59,5651.73996070282,5663.63293974304,132.169386150865
"M6",0.250159676145862,0.201801267753022,0.308671325083524,0.0224907910262444,0.476484008496217,0.0392176981976185,0.405980172515213,74,57,5648.20822594602,5659.61124269559,141.45863397814
