"source_file","region","variable","values_restored","study_years_restored"
"merged_하수관로개보수.csv","부산시부산진구","개·보수관로_부분보수(개소)_계",7,5
"merged_하수도보급률.csv","부산시부산진구","공공하수처리구역인구보급률(%)",15,5
"merged_하수도보급률.csv","부산시부산진구","총면적(㎢)",18,5
"merged_하수도보급률.csv","부산시부산진구","하수처리구역외_정화조인구",13,5
