"model","covariate","IRR","lo","hi","credible","DIC","WAIC","pD"
"M3","oyster_z",0.983634411850038,0.9190014521559,1.05399765358175,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","dairy_farm_z",1.03536841286948,0.971906604326003,1.10277714338275,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","gw_household_z",1.11695153004681,1.01159953322921,1.23251051430637,1,6260.36339977222,6273.68035651748,99.4811373104721
"M3","gw_simple_z",1.04905059305077,0.95869450584447,1.14871753014353,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","water_supply_z",0.933598803733923,0.833765211177616,1.04465378961352,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","septic_pop_z",1.08998596917814,1.0136955063535,1.17284730738682,1,6260.36339977222,6273.68035651748,99.4811373104721
"M3","ww_facility_z",0.985271190903584,0.905984852266594,1.07154221085947,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","pub_sewage_z",0.95871647921318,0.83409312972245,1.10141162517526,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","test_total_z",1.00016129453993,0.928961133629422,1.07677880263889,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","sewer_repair_z",0.901037356457071,0.81257891248109,0.999122943094128,1,6260.36339977222,6273.68035651748,99.4811373104721
"M3","paddy_z",1.05725522053531,0.94047449810565,1.18985573265663,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","forest_z",0.813059701471878,0.709142497879578,0.934582057873443,1,6260.36339977222,6273.68035651748,99.4811373104721
"M3","residential_z",0.925382732384774,0.826387655074094,1.03525436992295,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","health_practice_z",0.759402164332152,0.70690856080524,0.815843200867663,1,6260.36339977222,6273.68035651748,99.4811373104721
"M3","food_safety_z",1.01179502460601,0.954864923397014,1.07214365036089,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","elderly_alone_z",0.705272051773385,0.637027257132593,0.778995959469653,1,6260.36339977222,6273.68035651748,99.4811373104721
"M3","alone_80_84_z",0.813282113017151,0.743817859712174,0.886084218226423,1,6260.36339977222,6273.68035651748,99.4811373104721
"M3","welfare_z",1.07771766688061,0.997479416261911,1.16509179700903,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","fiscal_indep_z",0.798417156941686,0.705621097465422,0.903550291408626,1,6260.36339977222,6273.68035651748,99.4811373104721
"M3","fiscal_auto_z",1.01912543420479,0.902584559413419,1.14822922044825,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","sex_ratio_z",0.939178096177307,0.85503368102879,1.03083730150935,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","elderly_rate_z",0.801019567846709,0.708100595149246,0.905116376065237,1,6260.36339977222,6273.68035651748,99.4811373104721
"M3","urban_pop_rate_z",0.92267447892725,0.834216590296695,1.02079388006393,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","net_migration_z",0.984321820306878,0.933375842180415,1.03801745209775,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","med_in_z",1.0813900300335,0.969263142421082,1.20726880387082,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","clinic_family_z",1.06126341039986,0.979043657620518,1.15006803730776,0,6260.36339977222,6273.68035651748,99.4811373104721
"M3","depression_z",1.05942773644053,1.00741092776056,1.11414972675173,1,6260.36339977222,6273.68035651748,99.4811373104721
"M4","oyster_z",0.983111365342781,0.918330309697656,1.05357149641855,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","dairy_farm_z",1.02668419263961,0.968991582304497,1.08741654781633,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","gw_household_z",1.11270310391255,1.00848437462656,1.22684178139509,1,5692.84942445609,5613.95717539411,678.891788162985
"M4","gw_simple_z",1.04445660907243,0.95505476904903,1.1429937275102,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","water_supply_z",0.937110640864919,0.837107831235537,1.04813979223775,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","septic_pop_z",1.08834932347239,1.01329385931896,1.16992116335979,1,5692.84942445609,5613.95717539411,678.891788162985
"M4","ww_facility_z",0.991597883217867,0.911477573613047,1.07880227749779,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","pub_sewage_z",0.955732626787402,0.832248579348638,1.09714276715554,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","test_total_z",0.999940001064219,0.92931582920584,1.0760467030395,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","sewer_repair_z",0.900776955000632,0.813566070374914,0.997333173598963,1,5692.84942445609,5613.95717539411,678.891788162985
"M4","paddy_z",1.06301748101601,0.946827301246982,1.19488047518322,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","forest_z",0.81616873500472,0.712328187904295,0.937437427958479,1,5692.84942445609,5613.95717539411,678.891788162985
"M4","residential_z",0.934282160593204,0.83553080274891,1.04383401516996,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","health_practice_z",0.753530580682447,0.701657037017159,0.809211475050061,1,5692.84942445609,5613.95717539411,678.891788162985
"M4","food_safety_z",1.01845578922769,0.961852928251882,1.07840900420284,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","elderly_alone_z",0.740180938257262,0.680758283460967,0.803061040470992,1,5692.84942445609,5613.95717539411,678.891788162985
"M4","alone_80_84_z",0.817320440199074,0.747971883396204,0.890014200724074,1,5692.84942445609,5613.95717539411,678.891788162985
"M4","welfare_z",1.07697429160307,0.996888828091213,1.16411210329498,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","fiscal_indep_z",0.808552599392078,0.716189519917406,0.912816751713468,1,5692.84942445609,5613.95717539411,678.891788162985
"M4","fiscal_auto_z",1.01152684830623,0.897321414297865,1.13796872456362,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","sex_ratio_z",0.930930837892791,0.848172807239612,1.02120070434188,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","elderly_rate_z",0.794813476560256,0.70313308874024,0.897327151754011,1,5692.84942445609,5613.95717539411,678.891788162985
"M4","urban_pop_rate_z",0.935745816007901,0.847247262062243,1.03390275794425,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","net_migration_z",0.984779098060391,0.933841018104235,1.03846376096686,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","med_in_z",1.07125131530271,0.959036328459768,1.19748185862536,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","clinic_family_z",1.06003839209165,0.978452680420828,1.14814892357439,0,5692.84942445609,5613.95717539411,678.891788162985
"M4","depression_z",1.05731780935046,1.00435715628532,1.11309813159203,1,5692.84942445609,5613.95717539411,678.891788162985
"M5","oyster_z",1.00883222653801,0.95748199403767,1.06367429650107,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","dairy_farm_z",1.04247462541993,1.00288699491789,1.08352604237481,1,5659.70262641944,5666.50836186436,103.256225633888
"M5","gw_household_z",1.07775917653934,1.00132218519058,1.15878091911917,1,5659.70262641944,5666.50836186436,103.256225633888
"M5","gw_simple_z",1.04667923161198,0.984098964416221,1.11315696252334,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","water_supply_z",1.01857934142427,0.938010281671992,1.1060210011936,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","septic_pop_z",1.00778871067178,0.961722093794542,1.05628174322935,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","ww_facility_z",0.980159466989716,0.922747956927168,1.04119603475953,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","pub_sewage_z",1.01637204180907,0.920577112844646,1.12264165682596,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","test_total_z",0.985055280886748,0.934142459637846,1.03863644733158,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","sewer_repair_z",0.906992476268765,0.825603016983583,0.996450415247988,1,5659.70262641944,5666.50836186436,103.256225633888
"M5","paddy_z",0.955992193342593,0.879823022194066,1.03833015208293,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","forest_z",0.836296037752796,0.757105010045387,0.92514041392624,1,5659.70262641944,5666.50836186436,103.256225633888
"M5","residential_z",1.06843167645566,0.987598585158441,1.1559427659608,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","health_practice_z",0.97670625607188,0.924124635420818,1.03238759007751,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","food_safety_z",1.0313165392887,0.990089973154223,1.07427451757754,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","elderly_alone_z",0.962344546794253,0.908759759228104,1.0189003467506,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","alone_80_84_z",0.960787648817184,0.907036370973631,1.01716707599711,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","welfare_z",1.00369374985834,0.949011117820607,1.06124144832278,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","fiscal_indep_z",0.861829369795418,0.790027467501216,0.94006133267114,1,5659.70262641944,5666.50836186436,103.256225633888
"M5","fiscal_auto_z",1.07487325778024,0.986329381029277,1.17153955138375,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","sex_ratio_z",1.06182546932724,0.99180940264493,1.13719594100227,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","elderly_rate_z",1.04606550368138,0.957742022712433,1.14251316130873,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","urban_pop_rate_z",0.961318542233092,0.894111205015079,1.03348647849389,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","net_migration_z",1.01066096220041,0.974527142525636,1.04815226509758,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","med_in_z",1.06378812039457,0.976101715051587,1.16009142588561,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","clinic_family_z",0.996199700683295,0.942111360452724,1.05313496156214,0,5659.70262641944,5666.50836186436,103.256225633888
"M5","depression_z",1.02065838110898,0.984443700905034,1.05824792589434,0,5659.70262641944,5666.50836186436,103.256225633888
"M6","oyster_z",1.00798861368785,0.956709822101522,1.06279986945582,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","dairy_farm_z",1.0423533512522,1.00277771644146,1.08336964624117,1,5648.20822594602,5659.61124269559,141.45863397814
"M6","gw_household_z",1.07764640883615,1.0011108785074,1.15868804798785,1,5648.20822594602,5659.61124269559,141.45863397814
"M6","gw_simple_z",1.04693146818367,0.984315356996377,1.11347737132686,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","water_supply_z",1.0186909284898,0.938038260885148,1.10620519380904,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","septic_pop_z",1.00826651498078,0.962072934625753,1.05687572889011,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","ww_facility_z",0.980384580810822,0.922899220711603,1.04149758854223,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","pub_sewage_z",1.01630897864578,0.920410898786318,1.12272755473994,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","test_total_z",0.985592851678166,0.934648068972255,1.03920445597182,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","sewer_repair_z",0.906338517567404,0.824770201472326,0.996002309631359,1,5648.20822594602,5659.61124269559,141.45863397814
"M6","paddy_z",0.956404290932777,0.880173323959309,1.03880376012697,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","forest_z",0.836616137806612,0.757346896231865,0.925658877886779,1,5648.20822594602,5659.61124269559,141.45863397814
"M6","residential_z",1.06756979394358,0.986731153726327,1.1550707956309,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","health_practice_z",0.976877080382263,0.92414366957083,1.03271184334725,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","food_safety_z",1.03149496777844,0.990215202436577,1.07450505451886,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","elderly_alone_z",0.961613839714698,0.907878645229122,1.01835748984776,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","alone_80_84_z",0.961235945255669,0.907405375500559,1.01768699758955,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","welfare_z",1.0039083674987,0.949148883979014,1.06151303953576,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","fiscal_indep_z",0.861737867148773,0.789910540262805,0.940014304860254,1,5648.20822594602,5659.61124269559,141.45863397814
"M6","fiscal_auto_z",1.07471302102272,0.986013559208277,1.17155522235041,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","sex_ratio_z",1.06165310769671,0.991601119416944,1.13710624589577,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","elderly_rate_z",1.0467691194268,0.958265512145634,1.14344012433466,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","urban_pop_rate_z",0.961740699985846,0.894459729128656,1.03403962084645,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","net_migration_z",1.01080104189267,0.974583469276642,1.04836315655202,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","med_in_z",1.06315891943176,0.975333255425414,1.15967040722274,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","clinic_family_z",0.996846877294253,0.942612409732584,1.05392806702156,0,5648.20822594602,5659.61124269559,141.45863397814
"M6","depression_z",1.02148814150759,0.985089655141488,1.05925126955783,0,5648.20822594602,5659.61124269559,141.45863397814
"M7_yearFE","oyster_z",1.00820825538674,0.956882934560358,1.06310648174125,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","dairy_farm_z",1.04248145517921,1.00289493810342,1.08350659733715,1,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","gw_household_z",1.07739572699918,1.00076768275564,1.1584880069784,1,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","gw_simple_z",1.04681470012471,0.984133626342531,1.1134286810655,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","water_supply_z",1.01954182792984,0.938782561660141,1.10718789271906,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","septic_pop_z",1.00789893758735,0.961709422176687,1.0564987904304,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","ww_facility_z",0.980454346225954,0.92290755967481,1.04163759690534,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","pub_sewage_z",1.01694123884637,0.920929098883372,1.12351280076193,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","test_total_z",0.985649094611082,0.934648414756005,1.03932282739714,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","sewer_repair_z",0.906241357504036,0.824643263408619,0.995940426641382,1,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","paddy_z",0.955514376674713,0.87927305662623,1.03790884760584,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","forest_z",0.836302195873129,0.757000617416699,0.925435171048786,1,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","residential_z",1.06869229807271,0.987705943522165,1.15637152117845,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","health_practice_z",0.978267585668605,0.925443050970042,1.03421017703119,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","food_safety_z",1.03162715005147,0.990322749896779,1.07466584923455,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","elderly_alone_z",0.963627620438338,0.909783917276526,1.02051018965159,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","alone_80_84_z",0.962171418868823,0.908243469328444,1.01873530144385,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","welfare_z",1.00356208275662,0.948762143679724,1.06120192579342,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","fiscal_indep_z",0.861285995361175,0.789431572565298,0.939584689148683,1,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","fiscal_auto_z",1.07667916820561,0.987758140408154,1.17381532964006,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","sex_ratio_z",1.0623193604627,0.992167346785019,1.1379070021202,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","elderly_rate_z",1.04756198667538,0.958952061503832,1.14436612664637,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","urban_pop_rate_z",0.961513589431124,0.89420884246183,1.03383855412658,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","net_migration_z",1.01093302427428,0.974709794446199,1.04850036516097,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","med_in_z",1.06351006638131,0.975587236881636,1.16015066491351,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","clinic_family_z",0.996780899788158,0.942513926603955,1.05389552150432,0,5648.84228544675,5659.7764957688,141.144284012472
"M7_yearFE","depression_z",1.02094250096142,0.984555259635104,1.05868843246908,0,5648.84228544675,5659.7764957688,141.144284012472
