"covariate","IRR","lo","hi","credible"
"oyster_z",0.942787824517144,0.889191919538773,0.999614214351857,1
"dairy_farm_z",1.06082336163121,1.01369774402918,1.11013979384978,1
"gw_household_z",1.25307149940312,1.16038683800651,1.35315924930164,1
"gw_simple_z",0.966352560449255,0.894538885156623,1.04393144510798,0
"water_supply_z",1.05461259087017,0.959991315134504,1.15856018620966,0
"septic_pop_z",1.01165139602952,0.956063823508625,1.0704709475698,0
"ww_facility_z",0.980517871220782,0.909435234582392,1.05715641886782,0
"pub_sewage_z",0.958671591771619,0.853138909655382,1.07725859232135,0
"test_total_z",0.985763670613443,0.922207824602031,1.0536995982664,0
"sewer_repair_z",0.922586545377404,0.839002568009624,1.01449741176674,0
"paddy_z",0.905120021966201,0.823841661745977,0.994417121887072,1
"forest_z",0.675462510804477,0.606643509708094,0.752088493820409,1
"residential_z",1.12124867087064,1.01874554423875,1.23406535521941,1
"health_practice_z",0.990210887487484,0.931104238412764,1.05306963629574,0
"food_safety_z",1.04500791960385,0.995583584481701,1.09688585574991,0
"elderly_alone_z",0.877023691349375,0.822041742086051,0.935683087377292,1
"alone_80_84_z",1.00314803167321,0.931660652182819,1.08012071894646,0
"welfare_z",1.04513996261926,0.976409680236681,1.1187082262427,0
"fiscal_indep_z",0.80120668049927,0.725108810345816,0.8852907808009,1
"fiscal_auto_z",1.26930366038956,1.15998082565459,1.38892966732373,1
"sex_ratio_z",1.09900397977719,1.01548003502339,1.18939782753905,1
"elderly_rate_z",1.02322744515176,0.925378339645931,1.13142307276439,0
"urban_pop_rate_z",0.917559064176598,0.841802923765984,1.00013270622315,0
"net_migration_z",1.01151708932331,0.971245146204748,1.05345887800957,0
"med_in_z",1.03195890048865,0.9359610078119,1.13780292491818,0
"clinic_family_z",1.07828690699003,1.0111264708325,1.14990823336751,1
"depression_z",1.04130999215248,1.00050389399861,1.08378038932262,1
