"region","year","cases","population","rate_100k","건강생활실천율_조율","상수도보급률","독거노인비율","기초생활수급자수율","재정자립도","재정자주도","성비","고령인구비율","도시지역인구비율","순이동인구","관내진료비_입원","의원_가정의학과","우울감경험률_표준화율","식품안정성확보율_표준화율","폐수배출업소수","가정용_개소수","간이상수도용_개소수","검사합계","개·보수관로_부분보수(개소)_계","공공하수처리구역인구보급률(%)","하수처리구역외_정화조인구","총면적(㎢)","농가수(호)_젖소","농가수(호)_돼지","농가수(호)_가금","1인가구_80~84세","답","임야","대","굴_자연채묘 생산량(kg)","oyster_z","dairy_farm_z","gw_household_z","gw_simple_z","water_supply_z","septic_pop_z","ww_facility_z","pub_sewage_z","test_total_z","sewer_repair_z","paddy_z","forest_z","residential_z","health_practice_z","food_safety_z","elderly_alone_z","alone_80_84_z","welfare_z","fiscal_indep_z","fiscal_auto_z","sex_ratio_z","elderly_rate_z","urban_pop_rate_z","net_migration_z","med_in_z","clinic_family_z","depression_z","idarea","idtime","idarea_time"
"서울시종로구",2020,11,149384,7.36357307342152,37.8,100,17.29716365,3.5,53.7,68.9,94.64,19,100,-1622,23814539,7,4.9,98.6,205,38,0,8,0,100,0,23.86,0,0,0,749,0,9371233.4,8190719.5,0,-0.138486088238282,-0.41506844072688,-0.99507918040338,-1.71385315027395,0.905063196426787,-0.707519340445803,1.23120605256646,1.34007083859956,-0.995079180403383,-0.112071802552651,-0.90059651482286,-1.22364693762416,-0.44645200023936,0.437539669507963,1.01490923682017,-1.18204871833937,-0.780227311832159,-0.986069748447918,2.32591282060888,0.991810355160922,-1.05788460069155,-0.438480787336626,0.708692154522277,-0.7455502325292,0.0251015482310654,1.49992493690731,-0.998655411839273,1,1,1
"서울시종로구",2021,33,144683,22.8084847563294,34.5,100,17.29716365,3.5,52.4,67,94.2,19.1,100,-2224,27269614,6,5.5,98.6,205,31,0,8,0,100,0,23.86,0,0,0,811,0,9359338.5,8181175,0,-0.138486088238282,-0.41506844072688,-0.99507918040338,-1.71385315027395,0.905063196426787,-0.707519340445803,1.23120605256646,1.34007083859956,-0.995079180403383,-0.112071802552651,-0.90059651482286,-1.22364693762416,-0.44645200023936,0.0736123285232466,1.01490923682017,-1.18204871833937,-0.712313031357921,-0.986069748447918,2.22233702939873,0.827900890373425,-1.13939343528535,-0.438480787336626,0.708692154522277,-0.7455502325292,0.0900275435220841,1.49992493690731,-0.998655411839273,1,2,2
"서울시종로구",2022,12,141379,8.48782350985648,48.8,100,19.856338434883,3.5,51.2,68.6,93.7,19.6,100,-1433,29965503,6,9,98.6,205,26,0,8,0,100,0,23.86,0,0,0,916,0,9359338.5,8195547.1,0,-0.138486088238282,-0.41506844072688,-0.99507918040338,-1.71385315027395,0.905063196426787,-0.707519340445803,1.23120605256646,1.34007083859956,-0.995079180403383,-0.112071802552651,-0.90059651482286,-1.22364693762416,-0.44645200023936,1.65063080612369,1.01490923682017,-0.493631474219351,-0.597296911199936,-0.986069748447918,2.12672860674321,0.965929913352369,-1.23201711096012,-0.438480787336626,0.708692154522277,-0.7455502325292,0.135207385771997,1.49992493690731,1.00044832999338,1,3,3
"서울시종로구",2023,3,139417,2.15181792751243,47,100,20.7017543859649,3.5,50.3,67.6,93.3,20.4,100,-1463,29965503,6,7.9,98.6,205,26,0,8,0,100,0,23.913,0,0,0,1016,0,9359264.1,8197081.1,0,-0.138486088238282,-0.41506844072688,-0.99507918040338,-1.71385315027395,0.905063196426787,-0.707519340445803,1.23120605256646,1.34007083859956,-0.995079180403383,-0.112071802552651,-0.90059651482286,-1.22364693762416,-0.44645200023936,1.45212498376839,1.01490923682017,-0.28467867170694,-0.487757749144713,-0.986069748447918,2.05502228975157,0.879661773990529,-1.30611605149995,-0.438480787336626,0.708692154522277,-0.7455502325292,0.135207385771997,1.49992493690731,1.00044832999338,1,4,4
"서울시종로구",2024,2,138336,1.44575526254916,52.1,100,20.7017543859649,3.5,48.7,64.8,92.8,21.4,100,-653,29965503,6,8.2,95.3,205,26,0,8,0,100,0,23.913,0,0,0,1006,0,9359264.1,8196890.2,0,-0.138486088238282,-0.41506844072688,-0.99507918040338,-1.71385315027395,0.905063196426787,-0.707519340445803,1.23120605256646,1.34007083859956,-0.995079180403383,-0.112071802552651,-0.90059651482286,-1.22364693762416,-0.44645200023936,2.0145581471084,-0.984426097198368,-0.28467867170694,-0.498711665350236,-0.986069748447918,1.92754439287755,0.638110983777376,-1.39873972717472,-0.438480787336626,0.708692154522277,-0.7455502325292,0.135207385771997,1.49992493690731,1.00044832999338,1,5,5
"서울시중구",2020,6,125240,4.79080166081124,37,100,18.72259452,4.23,67.6,73.6,95.63,19.3,100,-956,12306233,4,3.1,97,316,1,0,13,62,100,0,9.92,0,0,0,687,0,1291056.2,5288998.4,0,-0.138486088238282,-0.41506844072688,-0.99507918040338,-1.71385315027395,0.905063196426787,-0.707519340445803,1.23120605256646,1.34007083859956,-0.995079180403383,-0.103511978976219,-0.90059651482286,-1.22364693762416,-1.34015753034149,0.349314859572275,1.01490923682017,-0.78755217302171,-0.848141592306397,-0.986069748447918,3.43337704970196,1.39727061016157,-0.874489722855498,-0.438480787336626,0.708692154522277,-0.7455502325292,-0.291288627047922,0.568216689190515,-0.998655411839273,2,1,6
"서울시중구",2021,12,122499,9.79599833468028,44.3,100,18.72259452,4.23,69.2,73.8,94.8,19.6,100,-1209,14057606,4,8.6,97,316,1,0,13,0,100,0,9.92,0,0,0,762,0,1285766,5298923.2,0,-0.138486088238282,-0.41506844072688,-0.99507918040338,-1.71385315027395,0.905063196426787,-0.707519340445803,1.23120605256646,1.34007083859956,-0.995079180403383,-0.112071802552651,-0.90059651482286,-1.22364693762416,-1.34015753034149,1.15436625023544,1.01490923682017,-0.78755217302171,-0.76598722076498,-0.986069748447918,3.56085494657599,1.41452423803394,-1.02824502447562,-0.438480787336626,0.708692154522277,-0.7455502325292,-0.227521939614197,0.568216689190515,1.00044832999338,2,2,7
"서울시중구",2022,5,120437,4.15154811229107,46.4,100,22.0924574209246,4.23,65.6,71.4,94.6,20.5,100,-727,12285523,3,7.4,97,316,1,0,13,2,100,0,9.92,0,0,0,844,0,1285766,5206210.3,0,-0.138486088238282,-0.41506844072688,-0.99507918040338,-1.71385315027395,0.905063196426787,-0.707519340445803,1.23120605256646,1.34007083859956,-0.995079180403383,-0.111795679211476,-0.90059651482286,-1.22364693762416,-1.34015753034149,1.38595637631662,1.01490923682017,0.0419504338737525,-0.676165107879697,-0.986069748447918,3.27402967860943,1.20748070356552,-1.06529449474553,-0.438480787336626,0.708692154522277,-0.7455502325292,-0.292095814560234,0.568216689190515,1.00044832999338,2,3,8
"서울시중구",2023,5,121312,4.12160379847006,51.6,100,23.2047012732615,4.23,64.2,70.8,93.6,21,100,1226,12285523,4,7.1,97,316,1,0,13,0,100,0,9.96,0,0,0,917,0,1273303,5194309.2,0,-0.138486088238282,-0.41506844072688,-0.99507918040338,-1.71385315027395,0.905063196426787,-0.707519340445803,1.23120605256646,1.34007083859956,-0.995079180403383,-0.112071802552651,-0.90059651482286,-1.22364693762416,-1.34015753034149,1.9594176408986,1.01490923682017,0.289320884725591,-0.596201519579384,-0.986069748447918,3.16248651884466,1.15571981994842,-1.25054184609508,-0.438480787336626,0.708692154522277,1.28799447261102,-0.292095814560234,0.568216689190515,1.00044832999338,2,4,9
"서울시중구",2024,3,120544,2.48871781258296,57.2,100,23.2047012732615,4.23,64,68.9,92.8,21.9,100,-440,12285523,4,4.7,97.6,316,1,0,13,0,100,0,9.96,0,0,0,942,0,1273303,5194995.9,0,-0.138486088238282,-0.41506844072688,-0.99507918040338,-1.71385315027395,0.905063196426787,-0.707519340445803,1.23120605256646,1.34007083859956,-0.995079180403383,-0.112071802552651,-0.90059651482286,-1.22364693762416,-1.34015753034149,2.57699131044842,1.01490923682017,0.289320884725591,-0.568816729065578,-0.986069748447918,3.14655178173541,0.991810355160922,-1.39873972717472,0.452058516634848,0.708692154522277,-0.7455502325292,-0.292095814560234,0.568216689190515,-0.998655411839273,2,5,10
