"region","year","cpo","pit","numerical_failure"
"서울시종로구",2020,0.0685116976335351,0.346580674969794,0
"서울시종로구",2021,0.0120280268250595,0.936311017459082,0
"서울시종로구",2022,0.028078235131918,0.946691783441391,0
"서울시종로구",2023,0.174377181884157,0.451290326863603,0
"서울시종로구",2024,0.185775255909434,0.367960119979633,0
"서울시중구",2020,0.0825317455212708,0.25450231696393,0
"서울시중구",2021,0.0690414051789103,0.413523680903474,0
"서울시중구",2022,0.138904317940889,0.678207854490391,0
"서울시중구",2023,0.0788191474609622,0.91905201606628,0
"서울시중구",2024,0.180706025658818,0.777988042003053,0
"서울시용산구",2020,0.0503934180883909,0.54629148912902,0
"서울시용산구",2021,0.00800546621625365,0.936380210588912,0
"서울시용산구",2022,0.00473103705246963,0.989586643008426,0
"서울시용산구",2023,0.106831110224597,0.725932596951939,0
"서울시용산구",2024,0.159771520591675,0.535389200266493,0
"서울시성동구",2020,0.0424944534430241,0.618226360973483,0
"서울시성동구",2021,0.0320476239783161,0.365516226773544,0
"서울시성동구",2022,0.063379845065255,0.197416004019096,0
"서울시성동구",2023,0.0927441297198302,0.755108932201123,0
"서울시성동구",2024,0.120684309237491,0.709576565613117,0
"서울시광진구",2020,0.0293674396396618,0.770729821540667,0
"서울시광진구",2021,0.0247238339288868,0.209112676404516,0
"서울시광진구",2022,0.0718607204025304,0.294527629410472,0
"서울시광진구",2023,0.104893500638927,0.30476370845999,0
"서울시광진구",2024,0.0852387911147932,0.803742600191734,0
"서울시동대문구",2020,0.0244802754378454,0.76620646252457,0
"서울시동대문구",2021,0.0083864250157461,0.900385241178599,0
"서울시동대문구",2022,0.0653880159838758,0.462624916007364,0
"서울시동대문구",2023,0.0870232626507478,0.270591971484902,0
"서울시동대문구",2024,0.087635629299015,0.204067121702949,0
"서울시중랑구",2020,0.0324292546921765,0.332198395946346,0
"서울시중랑구",2021,0.00463137602227972,0.944353563825303,0
"서울시중랑구",2022,0.0576731492499877,0.532173564604174,0
"서울시중랑구",2023,0.0755588423182093,0.22193844362956,0
"서울시중랑구",2024,0.104408613549003,0.436483375887837,0
"서울시성북구",2020,0.0269765146885258,0.450946420854369,0
"서울시성북구",2021,0.0155701838600191,0.640778533263199,0
"서울시성북구",2022,0.042846306596707,0.247190869461281,0
"서울시성북구",2023,0.0609217120161185,0.738258202926572,0
"서울시성북구",2024,0.0940425079940385,0.534941546224024,0
"서울시강북구",2020,0.0376167010133925,0.40619413285295,0
"서울시강북구",2021,0.00805239849861281,0.910318512252561,0
"서울시강북구",2022,0.0536455866160171,0.213554409912953,0
"서울시강북구",2023,0.027069848794717,0.937172198117072,0
"서울시강북구",2024,0.0922500331419193,0.218064905947267,0
"서울시도봉구",2020,0.0350460418389977,0.27157311766859,0
"서울시도봉구",2021,0.00550927934037233,0.941258955109454,0
"서울시도봉구",2022,0.067003802686307,0.555795302058169,0
"서울시도봉구",2023,0.101658305015242,0.414860861785789,0
"서울시도봉구",2024,0.112924069619567,0.345328095412776,0
"서울시노원구",2020,0.0251647976128008,0.625095895424373,0
"서울시노원구",2021,0.0158391313007675,0.58240191000873,0
"서울시노원구",2022,0.0501569167096812,0.382949302349397,0
"서울시노원구",2023,0.0706142187564556,0.64487465809551,0
"서울시노원구",2024,0.0901614420148047,0.328070063333767,0
"서울시은평구",2020,0.00992135540097325,0.857468880523518,0
"서울시은평구",2021,0.00921510481512341,0.763510177100816,0
"서울시은평구",2022,0.0462586005428078,0.465695808122357,0
"서울시은평구",2023,0.0325179637217922,0.08707652554635,0
"서울시은평구",2024,0.0785965409560799,0.48164785163039,0
"서울시서대문구",2020,0.0299857925670779,0.659797762968606,0
"서울시서대문구",2021,0.0223027445034085,0.549054582198049,0
"서울시서대문구",2022,0.0352243502380386,0.80925910538634,0
"서울시서대문구",2023,0.0945834097202908,0.429203454878645,0
"서울시서대문구",2024,0.108440658097779,0.486657252833332,0
"서울시마포구",2020,0.0332641960594682,0.392294688681261,0
"서울시마포구",2021,0.0122727453034327,0.820249633645649,0
"서울시마포구",2022,0.0350830573724927,0.80331016360099,0
"서울시마포구",2023,0.0872976091538557,0.535887332541278,0
"서울시마포구",2024,0.0826876530720584,0.709303667900734,0
"서울시양천구",2020,0.0252269775227469,0.612272287445423,0
"서울시양천구",2021,0.00640653970218447,0.903175267596747,0
"서울시양천구",2022,0.0503029356908779,0.440881507147238,0
"서울시양천구",2023,0.0796855623026054,0.411094005002054,0
"서울시양천구",2024,0.0840800728334343,0.295632639532818,0
"서울시강서구",2020,0.00455422114917443,0.932878256472058,0
"서울시강서구",2021,0.0105016358612564,0.671164391408854,0
"서울시강서구",2022,0.0280870627950378,0.229905549514693,0
"서울시강서구",2023,0.0555677305002924,0.534926682259619,0
"서울시강서구",2024,0.0319486105424754,0.857798872927224,0
"서울시구로구",2020,0.0266931576313177,0.616278521410783,0
"서울시구로구",2021,0.0107977629169983,0.840732005874394,0
"서울시구로구",2022,0.0482672266549245,0.682979172014143,0
"서울시구로구",2023,0.0862971106330773,0.351306062937203,0
"서울시구로구",2024,0.0644659606941877,0.139355289442022,0
"서울시금천구",2020,0.0517021338620787,0.433788915049659,0
"서울시금천구",2021,0.00442250291325861,0.968370142922628,0
"서울시금천구",2022,0.0631526657302484,0.176730171209171,0
"서울시금천구",2023,0.124229347174147,0.637285199540733,0
"서울시금천구",2024,0.101890190543194,0.172978964368954,0
"서울시영등포구",2020,0.034291449513681,0.273334512867883,0
"서울시영등포구",2021,0.0239641394004507,0.566588579131275,0
"서울시영등포구",2022,0.05649293196522,0.250061026170343,0
"서울시영등포구",2023,0.0939702870226728,0.632849573685115,0
"서울시영등포구",2024,0.116788996990634,0.361420960451675,0
"서울시동작구",2020,0.0373464742052424,0.369283772282392,0
"서울시동작구",2021,0.0206391270065636,0.655852199039742,0
"서울시동작구",2022,0.0636386279495558,0.53604790923206,0
"서울시동작구",2023,0.0824054561412389,0.705409215949266,0
"서울시동작구",2024,0.120040107729157,0.485587988805454,0
"서울시관악구",2020,0.0282137953159221,0.257755921976116,0
"서울시관악구",2021,0.00754072672856136,0.890824143574823,0
"서울시관악구",2022,0.0464176587728581,0.28244423601616,0
"서울시관악구",2023,0.0527831042084802,0.139780387230445,0
"서울시관악구",2024,0.0935490463847456,0.350113960654499,0
"서울시서초구",2020,0.0419151082251933,0.472064486164389,0
"서울시서초구",2021,0.0317393966316818,0.463387332727656,0
"서울시서초구",2022,0.054497045683791,0.163002558373841,0
"서울시서초구",2023,0.0146918169919153,0.0180100872461139,0
"서울시서초구",2024,0.122809909393033,0.325262278386007,0
"서울시강남구",2020,0.0187462296702808,0.0976914285882224,0
"서울시강남구",2021,0.0253564477332982,0.385367261892506,0
"서울시강남구",2022,0.0610008958921554,0.284163765218506,0
"서울시강남구",2023,0.0981051721891135,0.385530938099414,0
"서울시강남구",2024,0.0866122895732725,0.732670304446691,0
"서울시송파구",2020,0.0214698351012672,0.235080455857458,0
"서울시송파구",2021,0.0159277850453777,0.271833745504975,0
"서울시송파구",2022,0.043031178089761,0.582124636480498,0
"서울시송파구",2023,0.0403605122416773,0.842110551837541,0
"서울시송파구",2024,0.0733916934237097,0.673060277392889,0
"서울시강동구",2020,0.0279024441371659,0.260695620152335,0
"서울시강동구",2021,0.0138474012390875,0.131654667460468,0
"서울시강동구",2022,0.0522516228040734,0.536857112140447,0
"서울시강동구",2023,0.0605907978289045,0.774197670291556,0
"서울시강동구",2024,0.0607930630802684,0.804214963082224,0
"부산시중구",2020,0.335345707261287,0.644598582766808,0
"부산시중구",2021,0.258065671477985,0.415384140072657,0
"부산시중구",2022,0.312874703721991,0.869972452567504,0
"부산시중구",2023,0.0878453324497191,0.976328987114179,0
"부산시중구",2024,0.602129760174237,0.602129760174236,0
"부산시서구",2020,0.184339093904171,0.527729857200321,0
"부산시서구",2021,0.126911865873886,0.348540969115344,0
"부산시서구",2022,0.281576695542831,0.462473828307406,0
"부산시서구",2023,0.24001469822337,0.735921556946672,0
"부산시서구",2024,0.000168327444098057,0.999947000448208,0
"부산시동구",2020,0.236954497403209,0.596586740074145,0
"부산시동구",2021,0.0966916202807744,0.13109924953313,0
"부산시동구",2022,0.343586676375482,0.682169775907815,0
"부산시동구",2023,0.325820205709386,0.325820205709385,0
"부산시동구",2024,0.346355649152782,0.746190857887586,0
"부산시영도구",2020,0.145467627755592,0.360808685017859,0
"부산시영도구",2021,0.104054639525615,0.418422196794501,0
"부산시영도구",2022,0.169023333977083,0.796102591959652,0
"부산시영도구",2023,0.0425486311999459,0.966519418580763,0
"부산시영도구",2024,0.23685563278647,0.700984330049303,0
"부산시부산진구",2020,0.0893603397251306,0.673716631807008,0
"부산시부산진구",2021,0.0179223832260587,0.0372447131562653,0
"부산시부산진구",2022,0.162256314224291,0.405177763055956,0
"부산시부산진구",2023,0.0582739528557339,0.885195548968543,0
"부산시부산진구",2024,0.147906802754759,0.509939627218336,0
"부산시동래구",2020,0.0987747302912243,0.239848654940064,0
"부산시동래구",2021,0.0453026047077382,0.835904898720013,0
"부산시동래구",2022,0.0776861838382312,0.89603101051002,0
"부산시동래구",2023,0.173606783535404,0.336054847776192,0
"부산시동래구",2024,0.198449210505628,0.408136699053621,0
"부산시남구",2020,0.0542764999893793,0.0855563518022566,0
"부산시남구",2021,0.0671734656474088,0.194971751522047,0
"부산시남구",2022,0.103563059001501,0.85914197988766,0
"부산시남구",2023,0.146957390275696,0.77642829043467,0
"부산시남구",2024,0.188634385321927,0.719769812018589,0
"부산시북구",2020,0.088938531630157,0.209188657392406,0
"부산시북구",2021,0.0629342243618624,0.220712841921755,0
"부산시북구",2022,0.160462912512812,0.696605809203032,0
"부산시북구",2023,0.161952006486636,0.665475792212644,0
"부산시북구",2024,0.143454100808256,0.800883573854915,0
"부산시해운대구",2020,0.00980221331652416,0.973789106744597,0
"부산시해운대구",2021,0.00585388096751105,0.012109656418285,0
"부산시해운대구",2022,0.00625376936136351,0.99172765410442,0
"부산시해운대구",2023,0.121592174660529,0.264327701942191,0
"부산시해운대구",2024,0.157057803876225,0.526088375676208,0
"부산시사하구",2020,0.0770392578061586,0.646655436740866,0
"부산시사하구",2021,0.0482188901913049,0.19061810246793,0
"부산시사하구",2022,0.14723595384909,0.453420858850125,0
"부산시사하구",2023,0.147828551553793,0.457783834966123,0
"부산시사하구",2024,0.0121113260524426,0.987916236093312,0
"부산시금정구",2020,0.153981001564607,0.501849729194595,0
"부산시금정구",2021,0.0872132719412684,0.240159652801352,0
"부산시금정구",2022,0.183333507729796,0.761438522080139,0
"부산시금정구",2023,0.23764761875226,0.583882875342361,0
"부산시금정구",2024,0.243434072948849,0.69875809849654,0
"부산시강서구",2020,0.191128361673449,0.601841674741351,0
"부산시강서구",2021,0.0867424185090516,0.825440630599038,0
"부산시강서구",2022,0.0563662808955993,0.966064960328811,0
"부산시강서구",2023,0.0585663805869638,0.963921239632402,0
"부산시강서구",2024,0.218204852084889,0.830118207506327,0
"부산시연제구",2020,0.0975435085149355,0.770163842914205,0
"부산시연제구",2021,0.0879327370596768,0.282776980639904,0
"부산시연제구",2022,0.192387157944455,0.668778201860323,0
"부산시연제구",2023,0.22115280299698,0.496214146189305,0
"부산시연제구",2024,0.184659792764371,0.75013656733815,0
"부산시수영구",2020,0.088979329260801,0.818358460313678,0
"부산시수영구",2021,0.0915865838944615,0.558448185002473,0
"부산시수영구",2022,0.0880761752512218,0.898848065685269,0
"부산시수영구",2023,0.0838593425107631,0.907212044268582,0
