"component","sd_median","sd_lo","sd_hi","precision_mean","precision_mode"
"Precision for idarea (iid component)",0.0228522138321972,0.00340151120260611,0.0893086644889079,12695.526138254,266.986720693238
"Precision for idarea (spatial component)",0.250500368276911,0.201597422785257,0.308706038279805,16.3495351656577,15.1032936929211
"Precision for idtime",0.477904292520892,0.301148927707732,0.758431652460133,4.88777914646978,3.51372146485263
"Precision for idarea_time",0.0459457122138446,0.00376772351522828,0.197103097821281,12976.1054974861,50.2058329003872
