"model","run","DIC","WAIC","pD","n_credible","credible_set","gw_household","dairy_farm","forest","fiscal_indep"
"M3",1,6260.13854735423,6273.43401908632,100.286818880885,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11670390079049,1.0351610302954,0.813614616857484,0.798476741912386
"M3",2,6260.35846298072,6273.67751309067,99.5537454553496,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11695119854103,1.03535717654536,0.813063321268498,0.798415329298463
"M3",3,6260.13918934817,6273.43632687206,100.304939114283,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11671541027091,1.03515849028089,0.813613058021491,0.798473046111235
"M3",4,6260.36927831972,6273.68475824087,99.3225325333233,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11695637957204,1.03539246345096,0.813053931039448,0.798419350443799
"M3",5,6260.28985487954,6273.61959756688,99.8301866107922,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11644297861573,1.03524506191322,0.81344521858804,0.798582639371363
"M3",6,6260.28125967717,6273.63576850322,100.045711276506,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11646336861802,1.03521058456357,0.8134482758716,0.798572561481569
"M3",7,6260.13951275985,6273.43753500196,100.312789883901,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11671828767918,1.03515714953666,0.813613438417127,0.798472191482404
"M3",8,6260.13867392198,6273.43554073673,100.303156152376,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11671369344142,1.03515871813461,0.81361348420051,0.798473527964059
"M3",9,6260.29243676158,6273.60739853447,99.572080562787,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11642840911767,1.03528467194828,0.813441955294421,0.798591489576154
"M3",10,6260.36872995366,6273.68411128904,99.3878653814436,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11695859849657,1.03538279860103,0.813055309086504,0.798417360013702
"M4",1,5771.12596475608,5660.46368195392,693.082146579163,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11364314814205,1.02664611018988,0.815596787070951,0.808285025609848
"M4",2,5747.78618218223,5640.14994896349,698.094745234791,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11327908395872,1.02660555508265,0.815948439692189,0.808378162179267
"M4",3,5774.03535145923,5649.14832611033,707.402788782861,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11351224159488,1.02641514496692,0.816018543534534,0.80828750696356
"M4",4,5611.90751257221,5560.11387085453,653.81184999273,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11410701121257,1.0263573190907,0.815740521243258,0.808180162611721
"M4",5,5719.77564201282,5627.40761285137,688.104831461895,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11255485570934,1.02686203619854,0.816035680964718,0.808616722622234
"M4",6,5603.00051905012,5561.1604892387,643.956784508009,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11319104150409,1.02653804289066,0.815925593521982,0.808461879597636
