"spec","covariate","IRR","lo","hi","credible","N","districts","DIC","WAIC"
"retained_and_sewer_log","dairy_farm_z",1.046998,1.007649,1.087744,1,1100,220,5709.84,5720.14
"retained_and_sewer_log","gw_household_z",1.067349,0.994581,1.144326,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","gw_simple_z",1.05835,0.997077,1.123438,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","water_supply_z",1.009475,0.929664,1.09612,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","septic_pop_z",1.006622,0.961557,1.053942,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","ww_facility_z",0.992547,0.93638,1.052202,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","pub_sewage_z",1.003492,0.91117,1.105416,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","test_total_z",0.986431,0.935986,1.0395,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","sewer_repair_z",1.018641,0.982563,1.05603,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","paddy_z",0.962071,0.885732,1.0445,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","forest_z",0.826501,0.74917,0.913198,1,1100,220,5709.84,5720.14
"retained_and_sewer_log","residential_z",1.069567,0.989578,1.156079,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","health_practice_z",0.971809,0.919654,1.027028,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","food_safety_z",1.0323,0.991645,1.07463,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","elderly_alone_z",0.967912,0.914379,1.024441,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","alone_80_84_z",0.952958,0.903595,1.004466,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","welfare_z",1.008832,0.955834,1.064517,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","fiscal_indep_z",0.860607,0.790563,0.9368,1,1100,220,5709.84,5720.14
"retained_and_sewer_log","fiscal_auto_z",1.07716,0.988667,1.173847,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","sex_ratio_z",1.00391,0.956454,1.053689,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","elderly_rate_z",1.026789,0.942925,1.118052,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","urban_pop_rate_z",0.956266,0.889935,1.027474,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","net_migration_z",1.007303,0.971491,1.044417,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","med_in_z",1.038609,0.954977,1.13019,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","clinic_family_z",1.008055,0.954717,1.064204,0,1100,220,5709.84,5720.14
"retained_and_sewer_log","depression_z",1.023917,0.987804,1.061374,0,1100,220,5709.84,5720.14
