"region","mean","lo","hi"
"경기도김포시",0.601366319413973,0.355116792176217,0.853233572322267
"서울시서대문구",0.593488236608942,0.298382664347782,0.892382351188915
"서울시마포구",0.583749526746703,0.320588651488813,0.853606004364735
"서울시강서구",0.569794868611327,0.328339163992464,0.816897398374702
"서울시은평구",0.565871616280735,0.285065024256457,0.849685554515732
"서울시종로구",0.565326023333352,0.289330336495721,0.848075466642738
"전라북도전주시",0.560152452779304,0.269527547721854,0.857309488466674
"인천시연수구",0.539860581060883,0.241465213130543,0.839872830368524
"경기도동두천시",0.524035459304992,0.20532337415662,0.847064849814174
"경기도파주시",0.523861112739502,0.257139185546093,0.795052516348968
"서울시용산구",0.523748222206389,0.249049672092404,0.806737470323386
"서울시중구",0.522886920169699,0.216964950977359,0.83398990111999
"인천시중구",0.51969262706307,0.191493461261121,0.850404726298422
"전라북도군산시",0.519189519013047,0.209267630530433,0.834045090254133
"인천시남동구",0.516979807734375,0.263406864202954,0.773271611195559
"인천시동구",0.510858977474923,0.167831606504915,0.856198831900296
"경기도군포시",0.503278433764606,0.19770827798839,0.812459102216126
"전라북도김제시",0.500149890773386,0.19516779629245,0.817727328950778
"경기도고양시",0.494603535734517,0.252444831274278,0.740554334792502
"경기도오산시",0.488163670679395,0.160519295370503,0.816931526751969
"서울시강북구",0.486705647416596,0.222770080342738,0.754780143051578
"충청남도공주시",0.483468437900813,0.247714888779766,0.728970032018236
"전라북도익산시",0.475268073734511,0.20688419509824,0.751365794866224
"충청남도아산시",0.462984874193588,0.184457220404528,0.747544959665375
"인천시남구",0.458636219285374,0.188913822159699,0.730106416880363
"전라북도부안군",0.45730906927254,0.0848319094711447,0.843092835292583
"경기도부천시",0.455324771381389,0.216835755816169,0.69627186557717
"충청남도부여군",0.447472559255019,0.157757302778309,0.744833197711749
"경기도양주시",0.446932627152008,0.215745209778398,0.680717089631924
"경기도평택시",0.444486227169396,0.177373209397163,0.7170875300437
"인천시계양구",0.443821620438656,0.177740307509822,0.710257524073951
"충청남도예산군",0.436958487821375,0.150550007992815,0.730004645771175
"서울시양천구",0.436653844156125,0.152806125868136,0.721388014840049
"경기도안산시",0.423673324421612,0.159358213947376,0.690121348180821
"인천시강화군",0.421049101169916,0.0130128697563743,0.82969234126886
"경기도화성시",0.419587992046418,0.12523054782942,0.716860931332723
"충청남도서천군",0.415319027078265,0.0855014354597711,0.748620383957104
"경기도시흥시",0.412035912282908,0.139228430703471,0.685638292831982
"충청북도진천군",0.410985110893075,0.125806073567279,0.703390609118105
"충청북도청주시",0.401699540519315,0.172660038176803,0.640582844124295
"경기도의정부시",0.397021616303256,0.138393156225911,0.658142706202606
"서울시동대문구",0.395926420121854,0.125600907117985,0.666574791016477
"인천시서구",0.394913652537056,0.127165506971461,0.660822229161572
"서울시성북구",0.394449935730883,0.129622078393937,0.659432256752491
"충청남도보령시",0.393694828772053,0.0708660858254328,0.71939516997556
"서울시도봉구",0.393269166533276,0.111337802869862,0.676074906950861
"충청남도홍성군",0.38860949882225,0.0732681378562166,0.707059500927774
"서울시성동구",0.38673110139926,0.10068115394625,0.673086338076209
"충청남도청양군",0.38551415580246,0.062838616150336,0.711512013488914
"서울시노원구",0.380214591028034,0.131282097263659,0.631554659534941
"전라북도완주군",0.375191445521472,0.117680087195073,0.642018449826288
"경기도수원시",0.366498102337754,-0.029175282253957,0.764241265901324
"경기도안성시",0.364724485538093,0.0901684299577053,0.645113724997806
"경기도남양주시",0.359458219251229,0.142204552341682,0.581511833353277
"경기도안양시",0.354598028611857,0.0995929226103014,0.610645061443168
"경기도구리시",0.353591493630566,0.0893154649875386,0.619929129166291
