"graph","covariate","IRR","lo","hi","DIC","n_high","n_low"
"Queen","(Intercept)",0.0000392213080723016,0.0000376677503838865,0.0000408417163636258,5647.9303175937,74,57
"Queen","oyster_z",1.00798386779567,0.956688280450419,1.06279653147592,5647.9303175937,74,57
"Queen","dairy_farm_z",1.04233686783764,1.00274514897473,1.08337424137782,5647.9303175937,74,57
"Queen","gw_household_z",1.07763753585587,1.00107170333664,1.15874531065274,5647.9303175937,74,57
"Queen","gw_simple_z",1.04693576873054,0.98426110690135,1.11354348102597,5647.9303175937,74,57
"Queen","water_supply_z",1.01873476191188,0.938032388198365,1.10632081719782,5647.9303175937,74,57
"Queen","septic_pop_z",1.00832066769904,0.962090368798274,1.05697068850137,5647.9303175937,74,57
"Queen","ww_facility_z",0.980403342318282,0.922870100465091,1.04157108623202,5647.9303175937,74,57
"Queen","pub_sewage_z",1.01635074462226,0.920385183854788,1.12285014196732,5647.9303175937,74,57
"Queen","test_total_z",0.985621629438028,0.934636493903799,1.03927890473557,5647.9303175937,74,57
"Queen","sewer_repair_z",0.906311085334268,0.824727246388138,0.995994030785317,5647.9303175937,74,57
"Queen","paddy_z",0.956413745249044,0.880124461703741,1.03888158388406,5647.9303175937,74,57
"Queen","forest_z",0.836657487505796,0.75732792820665,0.92573890053348,5647.9303175937,74,57
"Queen","residential_z",1.06751519768795,0.986621103786665,1.15508812099987,5647.9303175937,74,57
"Queen","health_practice_z",0.976879536736868,0.924117774403051,1.03274653370142,5647.9303175937,74,57
"Queen","food_safety_z",1.03151791941362,0.99021236563663,1.07455887815201,5647.9303175937,74,57
"Queen","elderly_alone_z",0.961530235531666,0.907764089330916,1.01831155110044,5647.9303175937,74,57
"Queen","alone_80_84_z",0.96121368420612,0.907345932033743,1.01771248048273,5647.9303175937,74,57
"Queen","welfare_z",1.00392119853342,0.949120935473019,1.06157800747068,5647.9303175937,74,57
"Queen","fiscal_indep_z",0.86172107486078,0.789844624595266,0.940052719830552,5647.9303175937,74,57
"Queen","fiscal_auto_z",1.07471251438977,0.985953905372231,1.17163270069919,5647.9303175937,74,57
